i,j,coeff
365,37,1
365,282,1
365,320,1
452,365,1
402,365,1
365,344,1
450,365,1
589,320,1
365,363,1
383,365,1
589,37,1
589,402,1
545,365,1
385,365,1
365,246,1
589,344,1
567,365,1
365,119,1
417,365,1
589,450,1
510,365,1
365,288,1
365,319,1
