i,j,dist,eps
0,26,3.3303859541879426,3.7568414211273193
1,3,3.695395142839981,3.7568414211273193
1,37,3.086426557110382,3.7568414211273193
1,282,3.116786004112793,3.7568414211273193
1,453,3.3934880803094636,3.7568414211273193
3,15,3.334434987114502,3.7568414211273193
3,26,1.5357946763501893,3.7568414211273193
3,97,3.022906483219696,3.7568414211273193
3,102,3.5958006093965302,3.7568414211273193
3,113,3.63145113091333,3.7568414211273193
3,141,2.8375611315236817,3.7568414211273193
3,150,3.6098764548764954,3.7568414211273193
3,190,2.98207888107164,3.7568414211273193
3,203,2.849037529038025,3.7568414211273193
3,242,3.500146807240082,3.7568414211273193
3,262,3.7562697390781175,3.7568414211273193
3,348,2.8404613743291627,3.7568414211273193
3,365,2.822425902889801,3.7568414211273193
3,396,3.5790750096307526,3.7568414211273193
3,397,3.373906583593918,3.7568414211273193
3,439,2.467898727463318,3.7568414211273193
3,486,3.5636968920694123,3.7568414211273193
3,492,3.7042283723817597,3.7568414211273193
3,600,3.682113231228424,3.7568414211273193
4,26,3.0781377861963044,3.7568414211273193
4,439,3.7028552005754243,3.7568414211273193
6,26,2.8846439133153687,3.7568414211273193
6,97,3.677793149905039,3.7568414211273193
6,141,3.066495941089226,3.7568414211273193
6,439,3.675726265715195,3.7568414211273193
8,453,3.6308048209862243,3.7568414211273193
10,26,2.331073998542262,3.7568414211273193
10,97,3.3130456666217576,3.7568414211273193
10,203,3.6202393631206284,3.7568414211273193
10,439,3.1207559481949936,3.7568414211273193
11,90,3.391209588454796,3.7568414211273193
12,26,3.7177805612550507,3.7568414211273193
13,26,3.110437423990799,3.7568414211273193
14,26,3.323216573403908,3.7568414211273193
15,37,3.1591303656564484,3.7568414211273193
15,94,3.644100220011307,3.7568414211273193
15,108,3.5688543031678925,3.7568414211273193
15,209,2.8038276443944703,3.7568414211273193
15,248,3.6371327499614488,3.7568414211273193
15,282,1.816633404301239,3.7568414211273193
15,320,3.327419401215149,3.7568414211273193
15,402,3.453171343611313,3.7568414211273193
15,429,3.688483328627182,3.7568414211273193
15,440,3.4448035071359406,3.7568414211273193
15,450,3.437317491577698,3.7568414211273193
15,453,2.74999874930246,3.7568414211273193
15,496,2.8526346022949944,3.7568414211273193
15,503,3.7092357585893403,3.7568414211273193
15,528,3.7225570763216744,3.7568414211273193
16,26,2.5231168280111085,3.7568414211273193
16,97,3.519757867859436,3.7568414211273193
16,436,3.547867701457573,3.7568414211273193
16,437,3.673946649836136,3.7568414211273193
16,439,3.2230733568535577,3.7568414211273193
16,458,2.8950431505904923,3.7568414211273193
18,37,3.169025392340256,3.7568414211273193
18,80,3.4634812726394664,3.7568414211273193
18,209,3.439824254320694,3.7568414211273193
18,215,3.227185220526291,3.7568414211273193
18,243,3.609008402632309,3.7568414211273193
18,249,3.388754279421402,3.7568414211273193
18,282,2.1999470601545106,3.7568414211273193
18,358,3.6102323542104493,3.7568414211273193
18,363,3.1931270966993104,3.7568414211273193
18,402,3.1682516048417817,3.7568414211273193
18,429,3.2508138428197633,3.7568414211273193
18,450,3.4421616206632386,3.7568414211273193
18,453,3.1891552815900575,3.7568414211273193
19,26,3.087853253887726,3.7568414211273193
20,37,3.5109251468197833,3.7568414211273193
21,26,2.167763241635395,3.7568414211273193
21,28,2.9307016516791116,3.7568414211273193
21,97,3.596990802393986,3.7568414211273193
21,141,3.413000785814358,3.7568414211273193
21,150,3.3537211651669274,3.7568414211273193
21,196,2.985356130705906,3.7568414211273193
21,397,3.740562179194523,3.7568414211273193
21,437,3.547064983354641,3.7568414211273193
21,439,3.2168619083927403,3.7568414211273193
21,541,3.5646399940119515,3.7568414211273193
23,26,2.817191704245044,3.7568414211273193
23,439,3.4645000836567412,3.7568414211273193
24,37,3.6914720359013806,3.7568414211273193
24,209,3.742252380655838,3.7568414211273193
24,402,3.239273251102997,3.7568414211273193
24,453,3.3982247422204743,3.7568414211273193
25,29,3.6721417243347894,3.7568414211273193
26,34,3.5869787494407426,3.7568414211273193
26,36,3.0791958580480348,3.7568414211273193
26,37,0.09947866301400765,3.7568414211273193
26,40,3.3967039595113526,3.7568414211273193
26,42,2.6720378036366235,3.7568414211273193
26,51,3.5057661543355714,3.7568414211273193
26,54,3.4289174276159535,3.7568414211273193
26,55,3.3456992964015733,3.7568414211273193
26,57,2.3818805525766145,3.7568414211273193
26,63,2.546466589973999,3.7568414211273193
26,64,3.4588838527665864,3.7568414211273193
26,65,2.9622154394851457,3.7568414211273193
26,66,3.3864396522508393,3.7568414211273193
26,68,3.5118992524908315,3.7568414211273193
26,72,3.405975581215454,3.7568414211273193
26,79,3.239719734595848,3.7568414211273193
26,80,1.625325883807374,3.7568414211273193
26,82,3.3516740939335357,3.7568414211273193
26,86,3.0200666944251786,3.7568414211273193
26,90,2.329755649970604,3.7568414211273193
26,91,2.086806298302246,3.7568414211273193
26,94,1.5764275501237641,3.7568414211273193
26,96,3.3246165971027146,3.7568414211273193
26,98,2.688188423471285,3.7568414211273193
26,99,3.4642297710047494,3.7568414211273193
26,100,2.5989759872422944,3.7568414211273193
26,105,3.6785972761677037,3.7568414211273193
26,106,3.1281414340005647,3.7568414211273193
26,107,2.7420579354034196,3.7568414211273193
26,108,1.6184236119256745,3.7568414211273193
26,109,3.5340299374179374,3.7568414211273193
26,110,3.003586069749428,3.7568414211273193
26,111,2.0955023775563966,3.7568414211273193
