i,j,coeff
559,289,1
582,289,1
604,289,1
579,260,1
579,220,1
544,289,1
590,289,1
579,123,1
579,22,1
524,123,1
524,260,1
524,220,1
599,123,1
579,29,1
524,22,1
581,289,1
599,220,1
599,260,1
579,255,1
524,29,1
524,129,1
579,272,1
579,129,1
599,22,1
579,188,1
524,272,1
599,188,1
579,186,1
599,29,1
524,188,1
579,555,1
599,272,1
289,272,1
