i,j,coeff
502,65,1
65,56,1
422,65,1
410,65,1
135,65,1
144,75,1
360,65,1
224,65,1
383,65,1
407,75,1
142,75,1
231,207,1
231,144,1
75,3,1
425,75,1
231,224,1
502,75,1
343,65,1
207,75,1
