i,j,dist,eps
1,464,4.202492381514741,4.4629271030426025
1,575,4.177330047892166,4.4629271030426025
1,576,4.409620047615601,4.4629271030426025
2,188,3.761195779846741,4.4629271030426025
9,102,4.437911511467529,4.4629271030426025
10,144,4.295048476265503,4.4629271030426025
10,263,4.164504648254944,4.4629271030426025
10,308,4.0701749334798585,4.4629271030426025
10,344,4.344104112194611,4.4629271030426025
11,502,4.231972933815552,4.4629271030426025
11,566,4.181432128952576,4.4629271030426025
12,106,4.444642306374146,4.4629271030426025
12,548,4.123212696121765,4.4629271030426025
12,566,4.079562247799469,4.4629271030426025
13,181,3.804756284760071,4.4629271030426025
16,71,4.333272458122803,4.4629271030426025
16,143,4.1525572548375855,4.4629271030426025
16,196,4.29463803868158,4.4629271030426025
16,457,3.4523513327108155,4.4629271030426025
16,458,3.4804222593770753,4.4629271030426025
16,548,3.5042282948957215,4.4629271030426025
16,562,4.384521485375,4.4629271030426025
16,566,4.248674870537354,4.4629271030426025
17,106,4.454930783318115,4.4629271030426025
17,188,4.1527050743566285,4.4629271030426025
17,566,3.88525652985437,4.4629271030426025
18,91,4.0626623044477235,4.4629271030426025
18,344,4.406879366444183,4.4629271030426025
19,122,4.034693420933319,4.4629271030426025
19,308,4.349218190716339,4.4629271030426025
19,344,4.332523704575134,4.4629271030426025
19,464,4.065675179542733,4.4629271030426025
19,481,4.301311553524567,4.4629271030426025
19,556,4.451857687042786,4.4629271030426025
21,196,3.5939078340993653,4.4629271030426025
21,457,3.5956250439153443,4.4629271030426025
21,541,3.893047095345093,4.4629271030426025
24,55,4.2181207696662675,4.4629271030426025
24,71,4.183515549706055,4.4629271030426025
24,91,4.069902957485748,4.4629271030426025
24,198,4.319545031593872,4.4629271030426025
24,267,4.006625414894653,4.4629271030426025
24,308,4.434483290718628,4.4629271030426025
24,457,4.132370592163635,4.4629271030426025
24,562,4.407054782913757,4.4629271030426025
25,29,3.1250810633168946,4.4629271030426025
25,425,4.095956088112427,4.4629271030426025
30,404,3.418233634041382,4.4629271030426025
31,349,4.323463679359985,4.4629271030426025
31,479,3.655129672096802,4.4629271030426025
33,566,4.228377462433411,4.4629271030426025
34,99,4.181961060570313,4.4629271030426025
34,162,4.274125338600708,4.4629271030426025
34,197,3.523308516548706,4.4629271030426025
34,308,4.200585127876831,4.4629271030426025
34,566,3.988564373062683,4.4629271030426025
35,457,3.872444749878479,4.4629271030426025
36,464,4.278139050187303,4.4629271030426025
36,576,4.166000784443451,4.4629271030426025
39,266,4.395076275871826,4.4629271030426025
40,62,4.19718599419458,4.4629271030426025
40,451,2.9749921570287476,4.4629271030426025
40,457,3.959373951958252,4.4629271030426025
40,494,3.148104430244995,4.4629271030426025
43,566,3.25921106438501,4.4629271030426025
44,404,4.1222310076223145,4.4629271030426025
47,503,4.325262428330017,4.4629271030426025
48,98,2.3294929275975953,4.4629271030426025
48,308,3.426771641777588,4.4629271030426025
48,595,3.8566049347387086,4.4629271030426025
50,451,4.245596648262573,4.4629271030426025
50,457,4.166035057114197,4.4629271030426025
50,494,4.398843885468079,4.4629271030426025
