i,j,coeff
538,233,1
538,94,1
538,288,1
573,538,1
538,435,1
538,146,1
538,116,1
538,342,1
538,488,1
538,520,1
538,255,1
538,324,1
538,165,1
538,179,1
538,196,1
538,368,1
550,538,1
538,332,1
