i,j,coeff
357,233,1
233,130,1
438,233,1
233,150,1
375,233,1
233,123,1
292,233,1
559,233,1
548,233,1
233,160,1
233,56,1
305,233,1
360,233,1
237,233,1
233,0,1
603,233,1
236,233,1
246,233,1
233,101,1
405,233,1
487,233,1
391,233,1
