i,j,dist,eps
0,76,8.324134797857834,9.042106866836548
4,76,6.366047830389572,9.042106866836548
4,209,8.66742155055864,9.042106866836548
4,250,8.944344730185104,9.042106866836548
4,515,8.729507864521576,9.042106866836548
8,76,8.632387728499008,9.042106866836548
12,230,8.387894862400127,9.042106866836548
13,76,8.537196607397629,9.042106866836548
14,230,8.530869276331497,9.042106866836548
18,65,8.519926280783249,9.042106866836548
18,230,6.8586944202647935,9.042106866836548
18,452,8.88119096039328,9.042106866836548
19,76,8.05992505054338,9.042106866836548
21,28,8.722281904028488,9.042106866836548
21,230,8.83364650707109,9.042106866836548
21,411,8.992950529860092,9.042106866836548
22,76,8.390113682554794,9.042106866836548
23,76,7.446629376219345,9.042106866836548
24,230,8.518090338514877,9.042106866836548
27,76,8.046175689505173,9.042106866836548
28,76,7.555581362055374,9.042106866836548
28,309,9.00080081920488,9.042106866836548
29,76,8.630887300776077,9.042106866836548
31,230,8.986499779926373,9.042106866836548
32,76,7.906607196734978,9.042106866836548
33,76,8.60804733733995,9.042106866836548
35,76,8.819432349012924,9.042106866836548
36,76,8.269741089151932,9.042106866836548
40,230,8.489226126180721,9.042106866836548
42,76,8.65977856616838,9.042106866836548
44,76,7.343670339392258,9.042106866836548
49,76,7.7257666895852815,9.042106866836548
50,230,8.152433664606644,9.042106866836548
50,542,8.922153324888779,9.042106866836548
51,76,8.319299073027207,9.042106866836548
53,65,8.612369508551193,9.042106866836548
53,118,8.556555838392807,9.042106866836548
53,230,6.847644121454788,9.042106866836548
53,296,8.727229089544846,9.042106866836548
53,351,8.337455601500107,9.042106866836548
53,396,8.114540190504623,9.042106866836548
53,422,8.664193839834763,9.042106866836548
53,485,8.246015043066574,9.042106866836548
53,542,7.243875951574875,9.042106866836548
53,562,8.904433936880661,9.042106866836548
55,76,8.555644885705544,9.042106866836548
56,230,8.648302615688873,9.042106866836548
57,230,8.817920954035355,9.042106866836548
58,76,7.362068028257919,9.042106866836548
62,76,5.817354292677475,9.042106866836548
62,82,8.254184276865555,9.042106866836548
62,186,8.992291064070297,9.042106866836548
62,209,8.439732403563095,9.042106866836548
62,211,8.96152076225145,9.042106866836548
62,370,8.69652745227678,9.042106866836548
62,515,8.17716583709581,9.042106866836548
64,230,9.030858517693115,9.042106866836548
65,68,7.8684599707589875,9.042106866836548
65,76,3.621167690561844,9.042106866836548
65,81,6.861657650278641,9.042106866836548
65,82,6.900278241442276,9.042106866836548
65,168,8.367155105875565,9.042106866836548
65,186,8.957893581198288,9.042106866836548
65,209,7.1087088371382485,9.042106866836548
65,211,8.44173464279039,9.042106866836548
65,234,8.390003585325314,9.042106866836548
65,235,8.754346937941147,9.042106866836548
65,247,8.321153075502945,9.042106866836548
65,250,7.925763697432114,9.042106866836548
65,253,8.973620683954788,9.042106866836548
65,258,8.46286878089769,9.042106866836548
65,265,9.037663669394089,9.042106866836548
65,284,7.572622389601303,9.042106866836548
65,370,6.639534563826157,9.042106866836548
65,414,8.732308478163315,9.042106866836548
65,423,8.75075090031488,9.042106866836548
65,424,9.014050097273422,9.042106866836548
65,515,7.1684176335798035,9.042106866836548
65,517,7.150119752691818,9.042106866836548
65,544,8.762718380497528,9.042106866836548
65,547,8.988768966005875,9.042106866836548
65,558,7.83686101536615,9.042106866836548
66,230,8.061930825071169,9.042106866836548
67,76,8.385072321699692,9.042106866836548
68,96,8.924312801168991,9.042106866836548
68,118,9.017158479498459,9.042106866836548
68,146,9.006394893930985,9.042106866836548
68,230,5.902680040405823,9.042106866836548
68,351,8.175335855291916,9.042106866836548
68,396,7.6312426040635835,9.042106866836548
68,403,8.506604612873627,9.042106866836548
68,422,8.60503575305803,9.042106866836548
68,428,8.994748742388321,9.042106866836548
68,452,8.043805526638163,9.042106866836548
68,542,7.444361419485642,9.042106866836548
70,76,8.035326809691025,9.042106866836548
71,76,7.539745182798935,9.042106866836548
73,76,7.125794739531113,9.042106866836548
73,82,8.981497825192047,9.042106866836548
73,515,9.023890317486359,9.042106866836548
74,76,8.594623536871506,9.042106866836548
75,76,7.858980030821396,9.042106866836548
76,85,8.352609009550644,9.042106866836548
76,86,7.584083289908005,9.042106866836548
76,89,8.249687881277634,9.042106866836548
76,90,7.8702093074785004,9.042106866836548
76,93,7.185366065310074,9.042106866836548
76,95,6.513797470437122,9.042106866836548
76,96,5.4260238121019135,9.042106866836548
76,97,7.833131701754166,9.042106866836548
76,98,8.452273414538933,9.042106866836548
76,99,8.335304987685515,9.042106866836548
76,100,7.3840966532693635,9.042106866836548
76,101,9.033609480665756,9.042106866836548
76,102,8.597131223486496,9.042106866836548
76,105,8.982636661337448,9.042106866836548
76,106,8.318951518343521,9.042106866836548
76,107,6.65992197494371,9.042106866836548
76,111,8.599646241472794,9.042106866836548
76,113,5.92987784843309,9.042106866836548
76,118,5.3446438024507295,9.042106866836548
76,119,8.742615432547165,9.042106866836548
76,123,6.349961848066879,9.042106866836548
76,124,7.911999494837357,9.042106866836548
76,126,7.639960379408432,9.042106866836548
76,128,8.864339293049408,9.042106866836548
76,130,7.679488987730576,9.042106866836548
76,135,8.368356631206108,9.042106866836548
76,138,8.827029557035996,9.042106866836548
76,141,8.38933315973146,9.042106866836548
76,145,7.319731802748276,9.042106866836548
76,146,5.357050807283951,9.042106866836548
76,151,8.242873699472977,9.042106866836548
76,154,8.833589227007462,9.042106866836548
76,157,8.84641096095903,9.042106866836548
76,160,7.944753737257553,9.042106866836548
76,161,6.776634157703949,9.042106866836548
76,162,7.494390816496445,9.042106866836548
76,165,6.7083676765428315,9.042106866836548
76,166,8.485017986105515,9.042106866836548
76,167,8.871002526091171,9.042106866836548
76,170,7.945028097437454,9.042106866836548
76,172,8.896593184279038,9.042106866836548
76,174,8.490540773676468,9.042106866836548
76,177,7.643197328852249,9.042106866836548
76,180,8.654913903282715,9.042106866836548
76,181,6.905472249792648,9.042106866836548
76,182,5.164680511759354,9.042106866836548
76,188,8.846330852316452,9.042106866836548
76,196,8.908164233969284,9.042106866836548
76,199,8.671920453266932,9.042106866836548
76,208,5.3700285861955415,9.042106866836548
76,212,6.498467953013016,9.042106866836548
76,213,8.30034276943071,9.042106866836548
76,216,5.968643994139267,9.042106866836548
76,220,6.900387615965439,9.042106866836548
76,228,8.387376637266708,9.042106866836548
76,230,1.000000082740371e-09,9.042106866836548
76,233,6.891005666063858,9.042106866836548
76,239,7.408350856112076,9.042106866836548
76,246,8.376651496695114,9.042106866836548
76,248,7.81700673799379,9.042106866836548
76,251,7.03492871026857,9.042106866836548
76,252,8.133791417883469,9.042106866836548
76,255,6.4593015025125275,9.042106866836548
76,256,8.679605216787888,9.042106866836548
76,257,5.755890936659409,9.042106866836548
76,259,7.960588664816452,9.042106866836548
76,260,7.737350524471832,9.042106866836548
76,261,5.865273625658585,9.042106866836548
76,262,8.61228934030397,9.042106866836548
76,263,8.450710148619248,9.042106866836548
76,264,7.687307567404343,9.042106866836548
76,266,6.941347808645798,9.042106866836548
76,267,8.09727281432016,9.042106866836548
76,270,8.748114199446274,9.042106866836548
76,274,5.368404001997543,9.042106866836548
76,276,8.107398600386215,9.042106866836548
76,278,7.091069311903549,9.042106866836548
76,279,7.519409389303757,9.042106866836548
76,283,8.260996551321579,9.042106866836548
76,286,8.218992204474045,9.042106866836548
76,287,5.803650827215744,9.042106866836548
76,289,5.71291110019548,9.042106866836548
76,293,8.553872258471085,9.042106866836548
76,296,5.355103016899658,9.042106866836548
76,302,7.918387741850449,9.042106866836548
76,310,6.466231674955917,9.042106866836548
76,315,8.060903639601303,9.042106866836548
76,316,8.885076315210892,9.042106866836548
76,318,6.820972890661789,9.042106866836548
76,319,6.3548743436799775,9.042106866836548
76,320,8.61672529678209,9.042106866836548
76,321,7.126282961176468,9.042106866836548
76,323,7.441576928900314,9.042106866836548
76,325,8.770471782492233,9.042106866836548
76,328,7.573055357740952,9.042106866836548
76,333,8.736482412623001,9.042106866836548
76,336,7.738910631345345,9.042106866836548
76,339,6.263343186186386,9.042106866836548
76,341,8.801531107233597,9.042106866836548
76,346,8.597832412527634,9.042106866836548
76,349,8.414382726954056,9.042106866836548
76,351,3.864348501967026,9.042106866836548
76,354,5.90450444917543,9.042106866836548
76,356,7.8437736342416535,9.042106866836548
76,359,7.294505597160889,9.042106866836548
76,360,8.412623264895512,9.042106866836548
76,366,6.537337631987167,9.042106866836548
76,367,7.927923769758774,9.042106866836548
76,369,8.335683078573776,9.042106866836548
76,371,7.075644464300705,9.042106866836548
76,372,5.418800682829453,9.042106866836548
76,375,8.693622556583716,9.042106866836548
76,377,8.495996207998825,9.042106866836548
76,378,8.176371426390244,9.042106866836548
76,380,6.847465069101883,9.042106866836548
76,383,8.226052851484848,9.042106866836548
76,388,7.051222772406174,9.042106866836548
76,389,8.424338788794113,9.042106866836548
76,390,8.894555063055588,9.042106866836548
76,394,8.537140042589737,9.042106866836548
76,395,8.178129897521568,9.042106866836548
76,396,3.630659506724907,9.042106866836548
76,397,7.957699508474899,9.042106866836548
76,403,5.1209750185476075,9.042106866836548
76,405,7.891686291502548,9.042106866836548
76,406,7.355485410498215,9.042106866836548
76,411,5.529499680803848,9.042106866836548
76,415,8.800082416342331,9.042106866836548
76,416,7.310634345816208,9.042106866836548
76,417,9.0232535312639,9.042106866836548
76,422,5.112021089600159,9.042106866836548
76,425,7.349864573286606,9.042106866836548
76,428,5.365748436258865,9.042106866836548
76,429,7.840815932558609,9.042106866836548
76,431,6.90623465280397,9.042106866836548
76,437,7.12411829929216,9.042106866836548
76,438,8.324590236948563,9.042106866836548
76,439,8.107911200331284,9.042106866836548
76,440,6.609141440199448,9.042106866836548
76,441,5.873042495058609,9.042106866836548
76,444,7.9253946254716645,9.042106866836548
76,446,6.177352161215378,9.042106866836548
76,452,4.4032447050081025,9.042106866836548
76,457,7.697075516985489,9.042106866836548
76,466,8.01369246940477,9.042106866836548
76,467,5.839846071855856,9.042106866836548
76,468,8.811934442328049,9.042106866836548
76,471,8.24374583463533,9.042106866836548
76,472,7.830441356705261,9.042106866836548
76,475,8.52245256404741,9.042106866836548
76,478,8.949996800230576,9.042106866836548
76,480,8.474719376371933,9.042106866836548
76,481,6.587096811340881,9.042106866836548
76,482,7.838840515421463,9.042106866836548
76,484,7.232658089207245,9.042106866836548
76,485,5.307759017752243,9.042106866836548
76,486,7.526618809507919,9.042106866836548
76,488,6.328463346766068,9.042106866836548
76,493,8.359126598642899,9.042106866836548
76,495,8.431184441851212,9.042106866836548
76,498,7.773542256163193,9.042106866836548
76,499,8.78903266887529,9.042106866836548
76,500,7.26529523830278,9.042106866836548
76,501,8.142061443136765,9.042106866836548
76,504,6.799370856093002,9.042106866836548
76,514,6.744994849966599,9.042106866836548
76,520,7.216971905039383,9.042106866836548
76,521,6.610130162046982,9.042106866836548
76,523,8.478826315210892,9.042106866836548
76,525,8.035216898726059,9.042106866836548
76,526,8.895330281065537,9.042106866836548
76,527,8.354383797453476,9.042106866836548
76,529,8.157470674322678,9.042106866836548
76,530,8.665536494062973,9.042106866836548
76,533,7.984580488012863,9.042106866836548
76,534,6.579101101564003,9.042106866836548
76,536,6.220503897474838,9.042106866836548
76,538,8.795331210897995,9.042106866836548
76,539,9.036493823932243,9.042106866836548
76,541,8.95716342429979,9.042106866836548
76,542,0.9552960107789765,9.042106866836548
76,543,6.138740480946137,9.042106866836548
76,545,8.156082958983017,9.042106866836548
76,546,7.927545414374901,9.042106866836548
76,549,6.461507947252823,9.042106866836548
76,552,7.769788772867752,9.042106866836548
76,554,8.97769096593721,9.042106866836548
76,555,7.732712061213089,9.042106866836548
76,557,8.354974121855332,9.042106866836548
76,562,5.941080004976822,9.042106866836548
76,563,6.257036239908768,9.042106866836548
76,567,7.46677178244455,9.042106866836548
76,569,6.999633700655533,9.042106866836548
76,576,6.554617912577225,9.042106866836548
76,577,7.844088048742844,9.042106866836548
76,583,8.216940851019455,9.042106866836548
76,589,8.653602362679077,9.042106866836548
76,592,8.965744645403458,9.042106866836548
76,593,8.819221050547196,9.042106866836548
76,605,5.651488573359085,9.042106866836548
76,607,7.616491169737412,9.042106866836548
76,608,7.784239024923874,9.042106866836548
78,230,7.237766356276108,9.042106866836548
78,422,8.838322014616562,9.042106866836548
80,230,8.362592593835426,9.042106866836548
81,96,8.317015261457993,9.042106866836548
81,113,8.998591394232346,9.042106866836548
81,118,8.73659834365709,9.042106866836548
81,146,8.487104506300522,9.042106866836548
81,182,8.696503789232803,9.042106866836548
81,208,8.252017946051193,9.042106866836548
81,212,8.727711887167526,9.042106866836548
81,230,4.966863215969635,9.042106866836548
81,251,8.363613099859787,9.042106866836548
81,257,8.75343057613237,9.042106866836548
81,261,8.70749244193895,9.042106866836548
81,296,8.280645222471787,9.042106866836548
81,351,7.046345801161362,9.042106866836548
81,396,6.727507800863815,9.042106866836548
81,403,8.22870397667749,9.042106866836548
81,411,8.966542513178421,9.042106866836548
81,422,7.783327431486679,9.042106866836548
81,428,8.64875641565187,9.042106866836548
81,452,7.350584329174591,9.042106866836548
81,467,8.306227908538414,9.042106866836548
81,514,8.805417866514755,9.042106866836548
81,542,5.988063545034958,9.042106866836548
81,543,9.009640158222748,9.042106866836548
81,549,8.839133651064468,9.042106866836548
81,562,8.694543094442917,9.042106866836548
81,563,8.922970623777939,9.042106866836548
82,95,8.692566202090813,9.042106866836548
82,96,8.651119859026505,9.042106866836548
82,118,8.072696686791016,9.042106866836548
82,123,8.599112809704376,9.042106866836548
82,146,8.324118168161942,9.042106866836548
82,161,8.602854521082474,9.042106866836548
82,182,8.31331142883165,9.042106866836548
82,208,8.44807693462236,9.042106866836548
82,212,8.764525325106217,9.042106866836548
82,230,4.685236976550652,9.042106866836548
82,274,8.424058557556702,9.042106866836548
82,289,8.226744086550308,9.042106866836548
82,296,8.024810523794724,9.042106866836548
82,318,8.79256346921785,9.042106866836548
82,339,8.800701827810837,9.042106866836548
82,351,6.76203790407045,9.042106866836548
82,354,9.034597964094711,9.042106866836548
82,366,9.034601838396622,9.042106866836548
82,372,8.88974592189653,9.042106866836548
82,396,8.336962387965752,9.042106866836548
82,403,7.490301967667175,9.042106866836548
82,411,8.258048326777054,9.042106866836548
82,422,8.308763177202774,9.042106866836548
82,428,8.053203792379929,9.042106866836548
82,441,8.757695109652115,9.042106866836548
82,452,7.429656677948071,9.042106866836548
82,467,8.21264610912068,9.042106866836548
82,481,8.596943528460098,9.042106866836548
82,488,8.65612980823381,9.042106866836548
82,534,8.575948030756546,9.042106866836548
82,542,7.046169699238373,9.042106866836548
82,543,8.408269078539444,9.042106866836548
82,546,8.353613124297691,9.042106866836548
82,549,8.964081079767777,9.042106866836548
82,562,8.725213796900345,9.042106866836548
82,576,8.875242979334427,9.042106866836548
82,605,8.628735841320587,9.042106866836548
83,230,8.646977589534355,9.042106866836548
92,230,8.604732384042574,9.042106866836548
95,209,8.083289594458176,9.042106866836548
95,370,8.813301743076874,9.042106866836548
95,515,8.58643353085382,9.042106866836548
95,558,8.995196045445038,9.042106866836548
96,168,8.900234312819077,9.042106866836548
96,209,7.982573063181473,9.042106866836548
96,234,8.853409708546234,9.042106866836548
96,250,8.81924855809076,9.042106866836548
96,284,8.280515045927597,9.042106866836548
96,370,7.961724788950516,9.042106866836548
96,515,7.449373037623001,9.042106866836548
96,517,8.6478411267267,9.042106866836548
103,230,8.95887354116304,9.042106866836548
104,542,8.759353370474411,9.042106866836548
107,209,8.878821701811386,9.042106866836548
107,284,9.0231793830858,9.042106866836548
107,515,8.810472876833511,9.042106866836548
110,230,7.501918600009514,9.042106866836548
112,230,6.406661883996559,9.042106866836548
112,452,9.004005209611488,9.042106866836548
114,230,8.313605398939682,9.042106866836548
116,230,7.907395125435425,9.042106866836548
118,209,8.2317536185251,9.042106866836548
118,284,8.927767009543015,9.042106866836548
118,370,8.620884508894516,9.042106866836548
118,424,8.599925608442856,9.042106866836548
118,515,8.142082543181015,9.042106866836548
123,209,8.217109651373459,9.042106866836548
123,370,8.808564753340317,9.042106866836548
123,515,8.114268691347672,9.042106866836548
127,230,8.584653289125992,9.042106866836548
127,542,8.552596778677536,9.042106866836548
130,209,8.886062235640122,9.042106866836548
134,230,9.025939256952835,9.042106866836548
136,230,6.997361232595278,9.042106866836548
136,351,8.996449441717697,9.042106866836548
136,403,8.805593312786652,9.042106866836548
146,209,8.43933555583818,9.042106866836548
146,370,8.399563641356064,9.042106866836548
146,515,8.69192823867662,9.042106866836548
146,517,8.798044175909592,9.042106866836548
161,234,8.484573275850845,9.042106866836548
161,247,8.96589307587011,9.042106866836548
161,284,9.032802623765303,9.042106866836548
161,515,8.506740302847458,9.042106866836548
168,230,6.0168558071122895,9.042106866836548
168,289,8.966060371206833,9.042106866836548
168,296,8.975541682051254,9.042106866836548
168,351,7.474384159849716,9.042106866836548
168,396,7.574391455458237,9.042106866836548
168,403,8.556325377033783,9.042106866836548
168,422,7.8575699041353,9.042106866836548
168,452,8.491963164018227,9.042106866836548
168,485,8.50824448566301,9.042106866836548
168,542,6.80585715274675,9.042106866836548
168,562,8.87491437892778,9.042106866836548
181,370,8.92828843097551,9.042106866836548
182,209,8.014132411287857,9.042106866836548
182,284,8.738585502909256,9.042106866836548
182,370,8.482324750231339,9.042106866836548
182,515,8.024667472647263,9.042106866836548
185,230,8.631161541746689,9.042106866836548
186,230,6.976928875850273,9.042106866836548
186,351,8.268435807035996,9.042106866836548
186,396,8.932914943502976,9.042106866836548
186,403,8.838645041988922,9.042106866836548
186,542,7.802027673529221,9.042106866836548
189,230,8.960700512932373,9.042106866836548
192,230,8.990093381212784,9.042106866836548
192,542,8.302449435995651,9.042106866836548
199,397,8.753718108938767,9.042106866836548
199,515,8.889166087912155,9.042106866836548
199,546,8.731838927672936,9.042106866836548
203,230,8.873099983738495,9.042106866836548
206,230,8.30141145835979,9.042106866836548
207,230,8.567974389599396,9.042106866836548
207,403,8.992344440029694,9.042106866836548
208,209,8.698622436331345,9.042106866836548
208,284,8.687893779085709,9.042106866836548
208,370,8.26133343677385,9.042106866836548
208,515,8.137644411133362,9.042106866836548
208,517,8.900283248232437,9.042106866836548
209,230,4.053889484213425,9.042106866836548
209,239,8.951021642492844,9.042106866836548
209,255,8.608052999781204,9.042106866836548
209,261,8.909873873995377,9.042106866836548
209,274,8.485856742666794,9.042106866836548
209,289,8.891825766371323,9.042106866836548
209,310,8.965153248117996,9.042106866836548
209,319,8.998569340513779,9.042106866836548
209,336,9.022395999239517,9.042106866836548
209,339,8.669146568583084,9.042106866836548
209,351,7.256391615675522,9.042106866836548
209,354,8.704487175749374,9.042106866836548
209,372,7.89728108148439,9.042106866836548
209,396,6.669640631483627,9.042106866836548
209,403,7.402243257568909,9.042106866836548
209,411,8.39537713031633,9.042106866836548
209,422,7.71973791818483,9.042106866836548
209,428,7.974619359778,9.042106866836548
209,441,8.58223894338472,9.042106866836548
209,446,8.730166764067246,9.042106866836548
209,452,6.564345256494118,9.042106866836548
209,467,7.967463676886393,9.042106866836548
209,481,8.38502636651857,9.042106866836548
209,534,8.826885045574738,9.042106866836548
209,542,5.4362588832841645,9.042106866836548
209,543,8.743860737489296,9.042106866836548
209,562,8.452766389654709,9.042106866836548
209,605,8.585221202181412,9.042106866836548
211,230,7.047811106847359,9.042106866836548
211,351,8.052447767065598,9.042106866836548
211,396,8.343746037291123,9.042106866836548
211,422,8.570969552801682,9.042106866836548
211,485,8.660894365118576,9.042106866836548
211,542,7.466497511671616,9.042106866836548
212,234,9.018535197781159,9.042106866836548
212,284,8.901340962456299,9.042106866836548
212,515,8.1878906721936,9.042106866836548
214,230,8.59997782211168,9.042106866836548
214,542,8.749522180365158,9.042106866836548
217,230,7.604337007807327,9.042106866836548
217,452,8.732490108417107,9.042106866836548
226,230,8.0715342025028,9.042106866836548
227,230,7.667414040373398,9.042106866836548
227,351,8.66267904739244,9.042106866836548
227,396,8.29103109340532,9.042106866836548
227,485,7.583114833639694,9.042106866836548
227,542,7.082252950476242,9.042106866836548
230,234,5.7068134146497975,9.042106866836548
230,235,6.785118223236633,9.042106866836548
230,247,6.103213974343372,9.042106866836548
230,249,7.125453115509583,9.042106866836548
230,250,5.448334028081728,9.042106866836548
230,253,6.868195862577988,9.042106866836548
230,254,8.075731382773949,9.042106866836548
230,258,7.235616237925125,9.042106866836548
230,265,8.259200767682625,9.042106866836548
230,269,7.255606802947579,9.042106866836548
230,275,8.60831669072969,9.042106866836548
230,281,8.620344282196594,9.042106866836548
230,284,5.0524641657934914,9.042106866836548
230,290,9.031843193409724,9.042106866836548
230,291,8.749028743313385,9.042106866836548
230,292,8.193798394011093,9.042106866836548
230,299,8.930201442049576,9.042106866836548
230,304,8.987963647650314,9.042106866836548
230,306,7.615332772092653,9.042106866836548
230,309,7.5073314021096955,9.042106866836548
230,313,7.199371670441462,9.042106866836548
230,322,8.410333694027496,9.042106866836548
230,335,8.013888732598854,9.042106866836548
230,344,6.784505100058151,9.042106866836548
230,350,7.197066844509674,9.042106866836548
230,352,9.00796239923103,9.042106866836548
230,357,8.77317014436586,9.042106866836548
230,365,9.038729802774025,9.042106866836548
230,370,4.1556625078187714,9.042106866836548
230,379,8.28717714648111,9.042106866836548
230,385,8.965563864515854,9.042106866836548
230,387,8.276020356522633,9.042106866836548
230,392,7.554530144737793,9.042106866836548
230,399,8.89802399377687,9.042106866836548
230,400,8.157266405479742,9.042106866836548
230,408,8.287349672125412,9.042106866836548
230,414,7.176073730991913,9.042106866836548
230,423,6.319710106657578,9.042106866836548
230,424,6.358709246920181,9.042106866836548
230,443,8.32757394115789,9.042106866836548
230,445,8.632732710869742,9.042106866836548
230,450,7.019508616136147,9.042106866836548
230,451,8.3994480083452,9.042106866836548
230,458,6.463102878140045,9.042106866836548
230,462,8.6736179302202,9.042106866836548
230,463,8.672464736805988,9.042106866836548
230,465,6.617084340261055,9.042106866836548
230,473,8.952433169888092,9.042106866836548
230,476,8.517898351954056,9.042106866836548
230,487,7.38850649546249,9.042106866836548
