i,j,coeff
230,15,1
534,15,1
411,15,1
255,15,1
199,15,1
170,15,1
141,15,1
296,15,1
148,15,1
536,15,1
94,15,1
135,15,1
429,15,1
126,15,1
443,15,1
273,15,1
555,15,1
