i,j,coeff
136,105,1
211,105,1
548,105,1
142,105,1
452,105,1
311,105,1
352,105,1
105,90,1
447,105,1
143,105,1
206,105,1
105,48,1
303,105,1
105,10,1
217,105,1
478,105,1
522,105,1
120,105,1
328,105,1
351,105,1
105,55,1
268,105,1
238,105,1
351,347,1
105,51,1
239,105,1
