i,j,dist,eps
0,8,2.2308964143262635,2.432611584663391
0,48,2.3762871484027634,2.432611584663391
0,69,2.269268962623311,2.432611584663391
0,127,2.1875351528392564,2.432611584663391
0,156,1.7998605380521546,2.432611584663391
0,186,1.6263650069700013,2.432611584663391
0,187,2.0233955318794976,2.432611584663391
0,257,2.0571283112035523,2.432611584663391
0,297,2.371584252523018,2.432611584663391
0,299,2.257142276571823,2.432611584663391
0,314,2.2258872399793397,2.432611584663391
0,348,2.1003293703065644,2.432611584663391
0,494,2.206669719027115,2.432611584663391
0,574,2.0633856664167176,2.432611584663391
0,581,2.207656980560852,2.432611584663391
0,604,2.385646999882294,2.432611584663391
1,64,1.5962830195890199,2.432611584663391
1,125,2.2708013365731965,2.432611584663391
1,314,1.996636376784874,2.432611584663391
5,69,2.0899158726201783,2.432611584663391
5,156,1.8712152252660523,2.432611584663391
5,186,1.9720326970086823,2.432611584663391
5,196,2.318560690687729,2.432611584663391
5,257,2.308814973639084,2.432611584663391
5,297,2.372710646198822,2.432611584663391
5,314,2.3582590604887734,2.432611584663391
5,581,2.2149506519304047,2.432611584663391
7,8,1.763236404465271,2.432611584663391
7,48,1.826843225465847,2.432611584663391
7,49,2.20804101328714,2.432611584663391
7,69,0.6539533744321595,2.432611584663391
7,76,1.5798644731508027,2.432611584663391
7,81,2.382908896611763,2.432611584663391
7,83,2.325940952704979,2.432611584663391
7,109,1.3240371356473695,2.432611584663391
7,125,1.8219798664317857,2.432611584663391
7,127,1.6899124542938004,2.432611584663391
7,139,1.8543375740514527,2.432611584663391
7,150,1.5295610139833222,2.432611584663391
7,156,0.9265401373372804,2.432611584663391
7,159,2.408731744693352,2.432611584663391
7,160,2.1524953554139863,2.432611584663391
7,165,2.3036714802251588,2.432611584663391
7,166,2.1945006857381593,2.432611584663391
7,186,1.551422269152237,2.432611584663391
7,196,1.8096679757104646,2.432611584663391
7,201,2.3733672211633454,2.432611584663391
7,222,2.4189870218501817,2.432611584663391
7,234,1.7886063168512116,2.432611584663391
7,236,2.006702483700348,2.432611584663391
7,257,1.5546546588407288,2.432611584663391
7,258,2.343286992119385,2.432611584663391
7,277,2.2976247678266297,2.432611584663391
7,282,2.255555809544159,2.432611584663391
7,297,1.00818932156427,2.432611584663391
7,299,1.5081826458440553,2.432611584663391
7,304,1.4747055480943452,2.432611584663391
7,309,2.1248111120180617,2.432611584663391
7,314,1.743914933012558,2.432611584663391
7,344,2.2997726025746594,2.432611584663391
7,348,1.9620790491567384,2.432611584663391
